,HAS_CLAIMED_IN_NEXT_12_MONTHS
58200,0
14024,0
14627,0
10991,0
56133,0
51469,0
14475,0
21771,1
56138,0
41385,0
9188,0
44348,0
50155,0
4304,0
44555,0
30785,0
35106,0
29172,0
46909,0
48447,0
50214,0
43702,0
51824,0
43902,0
30516,0
1649,1
35825,0
39769,1
51658,0
42738,0
810,0
40998,0
38864,0
6731,0
56873,0
38100,1
38327,0
6536,0
23861,0
5461,0
55922,0
11065,0
17120,0
58329,0
59120,0
6025,0
6663,0
27646,0
6033,0
52206,0
49101,0
6615,0
26262,0
23429,0
10330,0
41404,0
11007,0
32416,0
19105,0
27623,0
33388,0
17175,0
14145,0
6072,0
32235,0
52313,0
8301,0
23279,0
13862,0
18704,1
28890,0
41738,0
37000,1
52473,0
32286,0
1405,0
46653,0
32658,0
58601,0
27925,0
16741,0
31211,0
10268,0
46279,0
16594,0
46429,0
48333,0
11089,0
42308,0
19523,0
56961,0
28910,0
14385,1
58930,0
21254,1
12832,0
40538,0
20284,1
31380,0
46395,0
14939,0
55430,0
16013,0
20536,0
26665,0
11532,0
32520,0
6582,0
32312,0
25099,0
33086,0
32296,0
44015,0
4745,0
19762,0
23789,0
45445,0
3776,1
17628,0
12246,0
16334,0
20697,0
2333,1
31429,0
53150,0
36785,1
38445,1
20332,0
30269,0
10322,0
565,1
49462,0
22709,0
17089,0
33225,0
28654,0
7842,0
18434,0
33860,0
16566,0
46716,0
45400,0
6331,0
52637,0
26729,0
8612,0
11511,0
43469,0
44557,0
26233,0
21180,1
49551,0
52746,0
53393,0
42052,0
44567,0
47731,0
49942,0
32671,0
6374,0
6998,0
39884,0
14069,0
9342,0
26068,0
10493,0
827,0
27540,0
7479,0
8265,0
55098,0
51920,0
4462,1
11581,0
54210,0
22883,0
58698,0
29484,0
30541,0
50872,0
16626,0
17256,0
19088,0
32831,0
7849,0
7083,0
56663,0
25725,0
10913,0
56073,0
55707,0
58307,0
18536,0
37678,0
22555,0
50144,0
22193,0
601,0
48732,0
54304,0
12707,0
57144,0
43035,0
9590,0
56522,0
28682,0
17788,0
14520,0
48154,0
37195,0
31995,0
16608,0
48979,0
47348,0
32351,0
9577,0
51419,0
49428,0
23489,0
19591,0
21787,0
44996,0
23795,0
1228,0
53134,0
8252,0
28199,0
53266,0
56882,0
21012,1
21171,0
49945,0
49405,0
47371,0
21733,0
27585,0
4700,0
39758,0
44102,0
53900,0
33960,0
32660,0
57781,0
53033,0
36951,0
25505,0
22751,0
36938,1
50599,0
52461,0
19018,1
23804,0
13607,0
34470,0
2177,0
40853,0
53013,0
44564,0
49005,0
46847,0
1455,0
30115,0
42551,0
7018,0
47724,0
41072,0
37476,1
22379,1
21017,0
45654,0
35055,0
26224,0
4948,0
56025,0
55431,0
20002,0
54759,0
27507,0
18252,0
11609,0
17724,0
48941,0
18939,0
991,0
36826,0
27970,0
57812,0
45709,0
7099,0
12900,0
25042,0
24971,0
44698,0
56933,0
11159,0
21109,1
37815,1
1600,0
42799,0
47443,0
31850,0
37423,0
42963,0
7685,0
52070,0
56865,0
53992,0
50924,0
27196,0
32158,0
30786,0
3287,0
57611,0
51588,0
30340,0
32708,0
22223,1
30987,0
14219,0
40696,0
42898,0
36490,1
35583,1
12353,0
22851,0
10498,0
49911,0
57916,0
50738,0
18910,0
9075,0
13761,0
11269,0
37152,1
22951,0
14535,0
57331,0
38312,0
36289,0
21544,0
38728,0
587,1
5417,0
18709,0
20685,0
40827,0
36752,0
22200,0
45326,0
58605,0
15720,0
32036,0
1058,1
57242,0
50564,0
53291,0
12561,0
52275,0
34396,0
6575,0
10864,0
2690,0
9023,0
20007,0
53657,0
1585,0
58821,0
51952,0
4880,0
12182,0
3643,0
42065,0
10026,0
8907,0
3656,1
42754,0
58151,0
42594,0
41180,0
10502,0
41768,0
36984,0
31048,0
19668,0
28380,0
47547,0
22232,1
30709,0
29410,0
23684,0
2977,0
15337,1
14366,0
30186,0
25721,0
54409,0
55377,0
3280,0
55054,0
29739,0
33074,0
54407,0
37486,0
35132,0
54664,0
12726,0
30031,0
30053,0
48550,0
34611,0
24392,0
34069,0
34465,0
5176,0
38163,0
11295,0
6448,0
13340,0
50260,0
1704,1
9125,0
25594,0
24044,0
41544,0
53197,0
49269,0
31147,0
54981,0
55678,0
48222,0
45226,0
38712,1
29589,0
37684,0
30095,0
32544,0
56572,0
18134,0
20385,0
54045,0
54504,0
53655,0
48741,0
38662,0
44500,0
9755,0
32661,0
48891,0
30714,0
6974,0
11152,0
1144,0
53306,0
11995,0
59024,0
4633,0
10401,0
26028,0
2089,0
7779,0
15731,0
10038,0
51004,0
38488,0
22072,0
21562,0
35193,0
38677,0
6736,0
16855,0
58170,0
34525,0
38389,1
42976,0
22673,0
5124,1
55363,0
8636,0
58848,0
40566,0
41643,0
25904,0
33724,0
7927,0
3212,0
5420,0
49489,0
5512,0
9201,0
56946,0
58694,0
13357,0
57921,0
58320,0
42751,0
32162,0
2600,1
49813,0
12945,0
19243,0
7156,0
27396,0
56040,0
12849,0
12850,0
5285,0
17643,0
37173,1
37683,0
25847,0
3328,0
5950,0
7691,0
15614,0
5731,0
57530,0
51900,0
54370,0
2470,1
21191,0
34294,0
12829,0
28542,0
4770,1
19148,0
535,1
53097,0
17308,0
31031,0
5159,0
32717,0
35342,0
15971,0
47644,0
52411,0
52627,0
51191,0
42158,0
53047,0
29982,0
43474,0
24789,0
53115,0
51023,0
27278,0
41682,0
30455,0
36263,0
39489,0
49398,0
2699,0
21992,0
17265,0
35699,0
10464,0
51012,0
49178,0
13307,0
38881,0
4063,0
4855,1
32830,0
19008,0
57714,0
19799,0
47853,0
20178,0
4575,1
31576,0
51280,0
34585,0
55398,0
31661,0
20482,0
12281,0
33770,0
42613,0
27492,0
29174,0
50420,0
9533,0
2093,1
49791,0
15213,0
41370,0
12280,0
44505,0
5330,0
50796,0
44711,0
10260,0
27013,0
19803,0
6931,0
57051,0
32034,0
34845,0
29847,0
14380,0
46538,0
7116,0
32611,0
54699,0
2252,0
50908,0
25200,0
47917,0
52550,0
26475,0
54399,0
16197,1
52318,0
59065,0
42904,0
59185,0
12892,0
56003,0
39692,0
43849,0
21128,0
