,PREMIUM_CHARGED,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,SUM_INSURED,LOADINGS,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,POLICY_HISTORY_AGE,POLICY_TERM,COMPANY_LOADINGS,type_of_cover,transaction_type,client_gender,open_restricted_flag,pa_driver_included,vehicle_condition,flag_vehicle_condition,flag_vehicle_type_on_seating_capacity
58200,3393.7683119999997,0.28,0.23,33874.0,0.1,0,0,12,0.3,0,2,0,0,0,1,0,2
14024,16126.906180000002,0.26,0.3,148457.0,0.11,0,0,12,0.3,0,5,0,1,0,1,1,0
14627,9096.683335,0.31,0.25,79995.7,0.08,0,1,12,0.35,0,5,1,0,1,1,1,0
10991,1963.472228,0.17,0.24,72633.105,0.09,0,2,12,0.38,2,5,1,0,1,1,0,0
56133,5658.547041,0.26,0.37,80559.81,0.07,0,2,12,0.38,1,5,1,0,0,0,1,0
51469,9163.789037,0.28,0.29,91005.0,0.09,0,0,12,0.3,0,5,1,0,0,2,1,0
14475,1185.265541,0.22,0.24,54196.55,0.09,0,1,12,0.35,2,5,0,0,0,2,1,0
21771,7663.815340000001,0.31,0.36,83539.485,0.12,0,2,12,0.38,0,5,0,0,0,1,1,0
56138,5113.444898,0.27,0.24,107943.75,0.11,0,1,12,0.35,1,5,0,1,0,1,1,0
41385,5722.132476,0.27,0.25,46277.35,0.11,0,1,12,0.35,0,5,0,0,0,2,1,2
9188,1455.957202,0.22,0.27,67993.02,0.1,0,2,12,0.38,2,5,0,0,0,1,1,1
44348,9451.943658,0.23,0.22,84773.0,0.13,0,0,12,0.3,0,5,1,0,0,0,1,0
50155,9638.977748000001,0.29,0.3,87206.58,0.09,0,2,12,0.38,0,5,0,0,0,2,1,1
4304,6574.437307,0.05,0.39,122904.35,0.2,0,1,12,0.35,1,5,1,0,1,1,1,1
44555,2253.243148,0.24,0.4,58397.45,0.1,0,1,12,0.35,1,5,0,0,0,2,1,0
30785,2787.9036760000004,0.27,0.17,106392.78,0.1,0,2,12,0.38,2,5,1,0,0,1,1,0
35106,8066.725872,0.24,0.27,74710.85,0.1,0,1,12,0.35,0,5,1,0,0,1,1,1
29172,10814.321890000001,0.22,0.37,98330.7,0.1,0,1,12,0.35,0,5,1,0,1,2,1,1
46909,7625.011639,0.32,0.37,88046.0,0.07,0,0,12,0.3,0,5,0,0,0,1,1,0
48447,3511.912086,0.21,0.27,61464.05,0.12,0,1,12,0.35,1,5,1,0,0,1,0,0
50214,1606.609746,0.28,0.25,78581.15,0.07,0,1,12,0.35,2,5,0,0,0,0,1,0
43702,11282.64595,0.27,0.23,88084.0,0.12,0,1,12,0.35,0,5,0,0,0,2,1,0
51824,10326.662690000001,0.29,0.26,84535.56,0.09,0,2,12,0.38,0,5,0,1,0,2,1,0
43902,4657.062140999999,0.28,0.34,101637.65,0.09,0,1,12,0.35,1,5,1,0,0,1,1,0
30516,4405.3241960000005,0.33,0.22,86628.6,0.1,0,1,12,0.35,1,5,1,0,0,0,1,0
1649,2204.990496,0.2,0.18,105900.0,0.08,0,0,12,0.3,2,5,0,1,0,0,0,1
35825,6949.757333,0.24,0.32,148828.0,0.1,0,0,12,0.3,1,5,0,0,1,1,1,0
39769,10394.97638,0.16,0.42,94473.7,0.11,0,1,12,0.35,0,5,0,0,0,1,1,0
51658,15620.071259999999,0.27,0.24,141632.0,0.1,0,0,12,0.3,0,5,1,0,0,2,0,2
42738,1631.663879,0.25,0.29,97959.0,0.06,0,0,12,0.3,2,5,0,0,0,1,0,0
810,9921.978019,0.05,0.25,57036.1,0.2,0,1,12,0.35,0,5,1,0,0,2,0,0
40998,9148.471759999999,0.27,0.33,81356.1,0.13,0,1,12,0.35,0,5,0,0,0,1,0,2
38864,8297.467037,0.3,0.33,89816.0,0.09,0,0,12,0.3,0,5,1,0,0,0,1,2
6731,4238.686686,0.18,0.27,84226.0,0.07,0,0,12,0.3,1,5,0,0,0,1,1,0
56873,5606.363647,0.21,0.28,101291.85,0.1,0,1,12,0.35,1,5,1,0,0,1,1,0
38100,10370.15108,0.26,0.33,107473.5,0.1,0,1,12,0.35,0,5,1,0,0,1,1,0
38327,16560.77965,0.05,0.32,110259.945,0.09,0,1,6,0.38,0,5,0,0,0,1,1,1
6536,6196.990718999999,0.25,0.42,61271.865,0.09,0,2,12,0.38,0,5,1,1,0,1,1,2
23861,7666.808153,0.33,0.29,76853.0,0.11,0,0,12,0.3,0,5,1,1,0,1,1,0
5461,12876.7693,0.26,0.33,117109.35,0.09,0,1,12,0.35,0,5,1,0,0,2,0,0
55922,6926.059165000001,0.17,0.29,127750.3,0.04,0,1,12,0.35,1,5,1,0,0,1,1,1
11065,10543.93855,0.32,0.38,128506.5,0.1,0,1,12,0.35,0,5,1,0,0,1,1,0
17120,2674.0957,0.18,0.23,101623.59,0.06,1,2,12,0.38,2,5,0,1,1,1,1,0
58329,11178.90083,0.25,0.28,107348.1,0.09,0,1,12,0.35,0,5,1,0,1,2,1,0
59120,14176.202369999999,0.31,0.19,106170.48,0.12,0,2,12,0.38,0,5,0,0,0,1,1,0
6025,10731.308359999999,0.31,0.28,103059.135,0.13,0,2,12,0.38,0,5,1,0,0,1,1,0
6663,10612.86114,0.29,0.26,93506.6,0.11,0,1,12,0.35,0,5,0,0,0,1,1,0
27646,5323.597877,0.12,0.31,89288.6,0.11,0,1,12,0.35,1,5,1,0,0,1,1,0
6033,8646.303558,0.21,0.25,67031.05,0.07,0,1,12,0.35,0,5,1,0,0,2,1,2
52206,10152.099409999999,0.25,0.25,79914.95,0.11,0,1,12,0.35,0,5,0,0,1,1,1,1
49101,2077.423147,0.24,0.23,98022.9,0.07,0,1,12,0.35,2,5,0,0,0,2,1,0
