HAS_CLAIMED_IN_NEXT_12_MONTHS,PREMIUM_CHARGED,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,SUM_INSURED,LOADINGS,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,POLICY_HISTORY_AGE,POLICY_TERM,COMPANY_LOADINGS,type_of_cover,transaction_type,client_gender,open_restricted_flag,pa_driver_included,vehicle_condition,flag_vehicle_condition,flag_vehicle_type_on_seating_capacity
1,7257.544154,0.3,0.32,78177.0,0.11,0,0,12,0.3,0,1,1,0,1,0,1,0
0,10270.81668,0.05,0.32,74268.15,0.21,0,1,12,0.35,0,5,1,0,1,0,1,0
0,8160.852646,0.2,0.32,66841.335,0.21,0,2,12,0.38,0,5,1,0,1,0,1,0
1,4578.507893,0.22,0.36,65841.0,0.1,0,0,12,0.3,0,4,0,0,0,2,1,1
1,8389.53316,0.26,0.36,88555.0,0.09,0,0,12,0.3,0,0,0,0,0,1,1,1
0,12384.24563,0.05,0.36,84127.25,0.19,0,1,12,0.35,0,5,0,0,0,1,1,1
0,9840.113679,0.2,0.36,75714.525,0.19,0,2,12,0.38,0,5,0,0,0,1,1,1
1,3405.007977,0.35,0.37,65117.0,0.07,0,0,12,0.3,0,6,1,0,0,0,1,0
0,7663.946943,0.05,0.37,61861.15,0.17,0,1,12,0.35,0,5,1,0,0,0,1,0
0,6089.519812,0.2,0.37,55675.035,0.17,0,2,12,0.38,0,5,1,0,0,0,1,0
1,6808.002805,0.37,0.32,84587.0,0.07,0,0,12,0.3,0,0,1,0,1,1,0,1
0,12357.42352,0.05,0.32,80357.65,0.17,0,1,12,0.35,0,5,1,0,1,1,0,1
1,15309.37756,0.24,0.34,150488.0,0.11,0,0,12,0.3,0,0,0,0,1,1,1,0
0,22067.88494,0.05,0.34,142963.6,0.21,0,1,12,0.35,0,5,0,0,1,1,1,0
0,17534.41452,0.2,0.34,128667.24,0.21,0,2,12,0.38,0,5,0,0,1,1,1,0
1,3246.425751,0.25,0.39,40409.0,0.13,0,0,12,0.3,0,0,0,0,0,1,0,0
0,4841.107693,0.05,0.39,38388.55,0.23,0,1,12,0.35,0,5,0,0,0,1,0,0
0,3846.58472,0.2,0.39,34549.695,0.23,0,2,12,0.38,0,5,0,0,0,1,0,0
1,11214.19289,0.26,0.25,100887.0,0.09,0,0,12,0.3,0,0,0,0,0,1,0,0
1,5550.717952,0.22,0.36,96970.0,0.12,0,0,12,0.3,0,4,0,0,0,1,1,0
0,12089.51545,0.05,0.36,92121.5,0.22,0,1,12,0.35,0,5,0,0,0,1,1,0
1,6795.896158,0.27,0.38,73254.0,0.1,0,0,12,0.3,0,0,0,1,0,1,0,0
1,6424.025568,0.22,0.32,67681.0,0.07,0,0,12,0.3,0,0,1,0,0,2,1,1
0,9457.708423,0.05,0.32,64296.95,0.17,0,1,12,0.35,0,5,1,0,0,2,1,1
1,6225.946155,0.24,0.38,138040.0,0.12,0,0,12,0.3,0,6,1,0,0,1,1,0
1,4971.890635,0.32,0.32,89101.0,0.09,0,0,12,0.3,0,6,1,1,0,2,1,0
1,8035.653591,0.22,0.31,107098.0,0.11,0,0,12,0.3,0,4,0,0,0,1,1,2
1,16926.24191,0.26,0.19,161269.0,0.11,0,0,12,0.3,0,0,0,0,0,1,0,2
0,25237.88613,0.05,0.19,153205.55,0.21,0,1,12,0.35,0,5,0,0,0,1,0,2
1,6168.216367,0.36,0.45,82863.0,0.06,0,0,12,0.3,0,1,1,0,0,1,1,0
0,9707.57749,0.05,0.45,78719.85,0.16,0,1,12,0.35,0,5,1,0,0,1,1,0
1,17128.58251,0.19,0.27,155322.0,0.09,0,0,12,0.3,0,1,1,0,0,2,1,0
0,21544.40427,0.05,0.27,147555.9,0.19,0,1,12,0.35,0,5,1,0,0,2,1,0
1,5647.333434,0.28,0.19,75143.0,0.08,0,0,12,0.3,0,6,0,0,0,2,0,2
0,11467.98854,0.05,0.19,71385.85,0.18,0,1,12,0.35,0,5,0,0,0,2,0,2
0,9112.08597,0.2,0.19,64247.265,0.18,0,2,12,0.38,0,5,0,0,0,2,1,2
1,7928.403793,0.31,0.44,100838.0,0.11,0,0,12,0.3,0,1,0,0,0,1,1,0
1,13151.37327,0.05,0.22,63566.4,0.19,0,0,6,0.35,0,5,0,0,1,2,1,1
1,6546.060616,0.28,0.23,127984.0,0.09,0,0,12,0.3,0,6,0,1,0,1,1,0
0,21533.91035,0.05,0.23,121584.8,0.19,0,1,12,0.35,0,5,0,1,0,1,1,0
0,17110.1359,0.2,0.23,109426.32,0.19,0,2,12,0.38,0,5,0,1,0,1,1,0
1,4213.142514,0.21,0.18,58280.0,0.09,0,0,12,0.3,0,4,1,0,0,2,1,1
1,2740.811682,0.33,0.38,104181.0,0.08,0,0,12,0.3,0,6,0,0,0,1,1,0
1,5194.126887,0.22,0.33,97237.0,0.08,0,0,12,0.3,0,4,1,0,1,1,1,0
1,2934.820208,0.26,0.21,28575.0,0.06,0,0,12,0.3,0,1,0,1,1,2,1,1
1,5417.655312,0.2,0.28,121515.0,0.08,0,0,12,0.3,0,6,0,1,0,2,0,0
